date,symbol,Adjusted,Close,High,Low,Open,Volume
2012-02-08,AAPL,59.251369,68.097145,68.112854,67.099998,67.214287,101972500
2012-02-09,AAPL,61.301102,70.452858,70.964287,68.651428,68.68,221053700
2012-02-10,AAPL,61.332165,70.488571,71.08857,69.792854,70.137146,157825500
2012-02-13,AAPL,62.473228,71.800003,71.975716,71.012856,71.361427,129304000
2012-02-14,AAPL,63.325947,72.779999,72.794289,71.714287,72.094284,115099600
2012-02-15,AAPL,61.860443,71.095711,75.184288,70.984283,73.465714,376530000
2012-02-16,AAPL,62.42477,71.744286,72.127144,69.51857,70.214287,236138000
2012-02-17,AAPL,62.413586,71.73143,72.538574,71.471428,71.872856,133951300
2012-02-21,AAPL,63.995934,73.550003,73.550003,72.017143,72.41143,151398800
2012-02-22,AAPL,63.770935,73.291428,73.641426,72.724289,73.297142,120825600
2012-02-23,AAPL,64.187332,73.769997,73.975716,72.785713,73.582855,142006900
2012-02-24,AAPL,64.935638,74.629997,74.699997,74.091431,74.238571,103768000
2012-02-27,AAPL,65.352058,75.108574,75.5,73.754288,74.472855,136895500
2012-02-28,AAPL,66.551537,76.487144,76.487144,75.121429,75.422859,150096800
2012-02-29,AAPL,67.425362,77.491432,78.230003,76.528572,77.365715,238002800
2012-03-01,AAPL,67.677681,77.781425,78.315712,76.96714,78.309998,170817500
2012-03-02,AAPL,67.765923,77.882858,78.114288,77.502853,77.748573,107928100
2012-03-05,AAPL,66.271889,76.165718,78.211426,75.14286,77.917145,202281100
2012-03-06,AAPL,65.911377,75.751427,76.241432,73.745712,74.808571,202559700
2012-03-07,AAPL,65.964828,75.812859,76.825714,74.757141,76.685715,199630200
2012-03-08,AAPL,67.369415,77.427139,77.57,76.017143,76.384285,129114300
2012-03-09,AAPL,67.764725,77.881432,78.248573,77.587143,77.744286,104729800
2012-03-12,AAPL,68.61367,78.85714,78.85714,78.14286,78.425713,101820600
2012-03-13,AAPL,70.614899,81.157143,81.168571,79.39286,79.648575,172713800
2012-03-14,AAPL,73.284874,84.225716,84.959999,82.199997,82.578575,354711000
2012-03-15,AAPL,72.785179,83.651428,85.715714,82.650002,85.658569,289929500
2012-03-16,AAPL,72.78643,83.652855,84.171425,82.571426,83.531425,206371900
2012-03-19,AAPL,74.71682,85.871429,85.96714,84.150002,85.48143,225309000
2012-03-20,AAPL,75.320923,86.565712,86.699997,84.497147,85.644287,204165500
2012-03-21,AAPL,74.890816,86.071426,87.092857,85.915718,86.105713,161010500
2012-03-22,AAPL,74.498055,85.620003,86.35714,85.075714,85.397141,155967700
2012-03-23,AAPL,74.089111,85.150002,85.971428,84.914284,85.784286,107622200
2012-03-26,AAPL,75.447708,86.711426,86.735718,85.03714,85.684288,148935500
2012-03-27,AAPL,76.379951,87.78286,88.040001,86.580002,86.597145,151782400
2012-03-28,AAPL,76.770241,88.23143,88.778572,87.187141,88.339996,163865100
2012-03-29,AAPL,75.805679,87.122856,88.080002,86.747147,87.540001,152059600
2012-03-30,AAPL,74.524162,85.650002,87.222855,85.419998,86.96714,182759500
2012-04-02,AAPL,76.895775,88.375717,88.395714,85.76857,85.975716,149587900
2012-04-03,AAPL,78.224541,89.902855,90.315712,88.93,89.614288,208639900
2012-04-04,AAPL,77.601814,89.187141,89.408569,88.14286,89.192856,143245200
2012-04-05,AAPL,78.76651,90.525711,90.665718,89.057144,89.568573,160324500
2012-04-09,AAPL,79.083466,90.889999,91.405716,89.328575,89.447144,149384200
2012-04-10,AAPL,78.115189,89.777145,92,89.428574,91.418571,222431300
2012-04-11,AAPL,77.836761,89.457146,90.98143,89.048569,90.885712,174153700
2012-04-12,AAPL,77.410393,88.96714,90.190002,88.64286,89.285713,153584200
2012-04-13,AAPL,75.230179,86.461426,89.242859,86.215714,89.158569,214911200
2012-04-16,AAPL,72.110222,82.875717,87.182854,82.60714,87.151428,262696700
2012-04-17,AAPL,75.785782,87.099998,87.14286,81.701431,82.705711,256382000
2012-04-18,AAPL,75.616753,86.905716,88.60714,86.101425,87.674286,238632800
2012-04-19,AAPL,73.01889,83.919998,86.389999,83.502853,85.745712,208679800
2012-04-20,AAPL,71.221497,81.854286,84.945717,81.488571,84.482857,257746300
2012-04-23,AAPL,71.062386,81.671425,82.381432,79.517143,81.515717,241632300
2012-04-24,AAPL,69.642883,80.040001,81.098572,79.285713,80.372856,269037300
2012-04-25,AAPL,75.823074,87.14286,88.285713,86.571426,87.94857,226444400
2012-04-26,AAPL,75.537201,86.814285,87.812859,86.01857,87.752853,134017100
2012-04-27,AAPL,74.952972,86.14286,86.597145,85.785713,86.438568,101680600
2012-04-30,AAPL,72.588791,83.425713,85.485718,83.285713,85.400002,126536200
2012-05-01,AAPL,72.358841,83.16143,85.251427,83.03286,83.557144,152749800
2012-05-02,AAPL,72.837395,83.711426,83.914284,82.694283,82.891426,106847300
2012-05-03,AAPL,72.32029,83.117142,84.485718,82.900002,84.35714,97637400
2012-05-04,AAPL,70.260635,80.75,82.622856,80.738571,82.440002,132498100
2012-05-07,AAPL,70.786446,81.354286,81.824287,80.175713,80.214287,115029600
2012-05-08,AAPL,70.624855,81.168571,81.64286,79.818573,81.368568,124313000
2012-05-09,AAPL,70.749161,81.311432,81.997147,80.121429,80.528572,120176000
2012-05-10,AAPL,70.915718,81.502853,82.26857,81.205711,82.082855,83300000
2012-05-11,AAPL,70.442146,80.958572,82.067146,80.621429,80.714287,99886500
2012-05-14,AAPL,69.386826,79.745712,81.072861,79.657143,80.367142,88156600
2012-05-15,AAPL,68.759087,79.024284,80.459999,78.821426,80.207146,119084000
2012-05-16,AAPL,67.877823,78.011429,79.555717,77.291428,79.150002,140224000
2012-05-17,AAPL,65.89399,75.73143,78.214287,75.73143,77.901428,179305000
2012-05-18,AAPL,65.926308,75.76857,77.629997,74.597145,76.279999,183073100
2012-05-21,AAPL,69.767181,80.182854,80.220001,76.292854,76.35714,157776500
2012-05-22,AAPL,69.231438,79.567146,81.982857,78.940002,81.364288,173717600
2012-05-23,AAPL,70.920677,81.508568,81.828575,79.03286,79.64286,146224400
2012-05-24,AAPL,70.269348,80.760002,82.35714,80.175713,82.267143,124057500
2012-05-25,AAPL,69.892731,80.327141,80.835716,79.781425,80.655716,82126800
2012-05-29,AAPL,71.13324,81.752853,82,80.758568,81.557144,95127200
2012-05-30,AAPL,71.990906,82.738571,82.855713,80.937141,81.314285,132357400
2012-05-31,AAPL,71.811905,82.53286,83.071426,81.637146,82.96286,122918600
2012-06-01,AAPL,69.73114,80.141426,81.807144,80.074287,81.308571,130246900
2012-06-04,AAPL,70.141327,80.612854,81.071426,78.35714,80.214287,139248900
2012-06-05,AAPL,69.959854000000007,80.404289,80.924286,79.761429,80.181427,97053600
2012-06-06,AAPL,71.032585,81.637146,81.978569,80.785713,81.110001,100363900
2012-06-07,AAPL,71.06488,81.674286,82.474289,81.5,82.470001,94941700
2012-06-08,AAPL,72.133842,82.902855,82.940002,81.285713,81.657143,86879100
2012-06-11,AAPL,70.996506,81.595711,84.071426,81.51857,83.959999,147816200
2012-06-12,AAPL,71.616745,82.308571,82.374283,80.957146,82.065712,108845100
2012-06-13,AAPL,71.11953,81.737144,82.639999,81.482857,82.074287,73395000
2012-06-14,AAPL,71.04126,81.647141,81.928574,81.03714,81.605713,86393300
2012-06-15,AAPL,71.364433,82.01857,82.08857,81.364288,81.571426,83813800
2012-06-18,AAPL,72.812531,83.682854,83.984283,81.48143,81.565712,110103000
2012-06-19,AAPL,73.015144,83.915718,84.285713,83.300003,83.342857,90351100
2012-06-20,AAPL,72.807579,83.677139,84.178574,82.971428,84.029999,89735800
2012-06-21,AAPL,71.804474,82.524284,84.031425,82.491432,83.634285,81587800
2012-06-22,AAPL,72.355103,83.157143,83.169998,82.202858,82.720001,71117900
2012-06-25,AAPL,70.946785,81.538574,82.828575,81.48143,82.471428,76095600
2012-06-26,AAPL,71.103401,81.718575,82.07,81.047142,81.618568,69134100
2012-06-27,AAPL,71.410423,82.071426,82.391426,81.702858,82.14286,50749300
2012-06-28,AAPL,70.732979,81.292854,82,80.80143,81.667145,70709100
2012-06-29,AAPL,72.591286,83.428574,83.428574,82.035713,82.571426,105375200
2012-07-02,AAPL,73.650322,84.645714,84.781425,83.371429,83.53286,100023000
2012-07-03,AAPL,74.506752,85.629997,85.714287,84.85714,84.982857,60428200
2012-07-05,AAPL,75.81562,87.134285,87.762856,85.664284,85.794289,121095800
2012-07-06,AAPL,75.310966,86.554283,86.919998,85.940002,86.727142,104732600
2012-07-09,AAPL,76.306618,87.69857,87.699997,86.30143,86.471428,94851400
2012-07-10,AAPL,75.600586,86.887146,88.552856,86.472855,88.281425,127989400
2012-07-11,AAPL,75.13073,86.347145,86.808571,85.317146,86.58857,117330500
2012-07-12,AAPL,74.443336,85.557144,86.209999,84.668571,85.748573,107010400
2012-07-13,AAPL,75.197861,86.424286,86.741432,85.714287,86.135712,77856800
2012-07-16,AAPL,75.439003,86.701431,87.374283,86.431427,86.445717,75315100
2012-07-17,AAPL,75.442734,86.705711,87.35714,86.164284,87.255714,73406200
2012-07-18,AAPL,75.358215,86.608574,86.905716,86.222855,86.655716,63175000
2012-07-19,AAPL,76.360062,87.760002,87.907143,86.571426,87.325714,109215400
2012-07-20,AAPL,75.114601,86.328575,87.777145,86.242859,87.575714,99367800
2012-07-23,AAPL,75.056145,86.261429,86.557144,83.958572,84.914284,121993900
2012-07-24,AAPL,74.694458,85.845711,87.097145,85.501427,86.76857,141283100
2012-07-25,AAPL,71.468849,82.138573,82.971428,81.428574,82.065712,219328200
2012-07-26,AAPL,71.457657,82.125717,82.914284,81.480003,82.822861,101658200
2012-07-27,AAPL,72.735458,83.594284,83.690002,81.655716,82.144287,100984100
2012-07-30,AAPL,73.962311,85.004288,85.634285,83.974289,84.417145,94785600
2012-07-31,AAPL,75.917549,87.251427,87.385712,86.102859,86.175713,115581900
2012-08-01,AAPL,75.426552,86.687141,88.057144,86.14286,87.987144,96125400
2012-08-02,AAPL,75.548363,86.827141,87.241432,85.75,86.120003,83039600
2012-08-03,AAPL,76.531601,87.957146,88.28286,87.365715,87.66143,86230200
2012-08-06,AAPL,77.383049,88.935715,89.267143,87.894287,88.184288,75525800
2012-08-07,AAPL,77.179199,88.701431,89.285713,88.291428,88.96714,72611700
2012-08-08,AAPL,77.048676,88.55143,89.125717,88.157143,88.484283,61176500
2012-08-09,AAPL,77.488098,88.675713,88.818573,88.257141,88.264282,55410600
2012-08-10,AAPL,77.609184,88.814285,88.822861,88.385712,88.387146,48734700
2012-08-13,AAPL,78.645302,90,90,89.035713,89.055717,69708100
2012-08-14,AAPL,78.85627,90.241432,91.230003,90.029999,90.267143,85042300
2012-08-15,AAPL,78.748901,90.118568,90.571426,89.678574,90.185715,64335600
